Time[sec],OwnCar X[m],OwnCar Y[m], OwnCar Yaw[deg],OwnCar Spd[km/h],OwnCar Steer Angle[deg],OwnCar Brake[MPa],X[m],Y[m]
185.709,624.073,-14.307,91.043,19.177,142.207,0.042,609.442,-6.886
185.725,624.07,-14.22,91.146,19.163,142.207,0.043,609.525,-6.927
185.742,624.065,-14.128,91.261,19.146,142.207,0.046,609.608,-6.969
185.758,624.06,-14.036,91.385,19.125,177.583,0.048,609.69,-7.011
185.775,624.056,-13.949,91.497,19.106,177.583,0.044,609.773,-7.054
185.792,624.051,-13.857,91.628,19.083,177.583,0.046,609.854,-7.097
185.808,624.045,-13.766,91.772,19.057,177.583,0.056,609.936,-7.141
185.825,624.039,-13.679,91.906,19.035,177.583,0.056,610.016,-7.186
185.841,624.033,-13.587,92.054,19.013,177.583,0.056,610.097,-7.231
185.858,624.026,-13.496,92.211,18.986,217.354,0.057,610.178,-7.277
185.875,624.02,-13.408,92.35,18.963,217.354,0.057,610.258,-7.324
185.891,624.012,-13.317,92.511,18.936,217.354,0.057,610.338,-7.371
185.908,624.004,-13.226,92.685,18.905,217.354,0.054,610.417,-7.419
185.924,623.997,-13.14,92.846,18.88,217.354,0.057,610.496,-7.467
185.941,623.988,-13.049,93.025,18.854,256.157,0.054,610.574,-7.516
185.959,623.979,-12.957,93.209,18.824,256.157,0.054,610.653,-7.565
185.975,623.97,-12.871,93.388,18.794,256.157,0.056,610.731,-7.615
185.992,623.96,-12.781,93.59,18.766,256.157,0.042,610.808,-7.666
186.008,623.95,-12.69,93.803,18.734,256.157,0.04,610.885,-7.717
186.025,623.939,-12.604,94.002,18.709,286.611,0.04,610.962,-7.769
186.042,623.928,-12.513,94.217,18.684,286.611,0.04,611.038,-7.821
186.058,623.916,-12.422,94.448,18.65,286.611,0.043,611.114,-7.874
186.075,623.905,-12.337,94.666,18.625,286.611,0.044,611.189,-7.927
186.091,623.892,-12.247,94.901,18.601,286.611,0.044,611.264,-7.982
186.108,623.879,-12.157,95.147,18.571,306.914,0.043,611.34,-8.036
186.125,623.866,-12.071,95.371,18.548,306.914,0.054,611.414,-8.091
186.141,623.852,-11.981,95.617,18.523,306.914,0.053,611.487,-8.147
186.158,623.837,-11.892,95.873,18.492,306.914,0.054,611.561,-8.204
186.175,623.823,-11.807,96.107,18.469,306.914,0.053,611.635,-8.261
186.191,623.807,-11.718,96.359,18.444,306.914,0.053,611.707,-8.318
186.208,623.792,-11.629,96.619,18.415,329.238,0.051,611.779,-8.376
186.225,623.776,-11.544,96.854,18.392,329.238,0.051,611.851,-8.434
186.242,623.76,-11.455,97.11,18.365,329.238,0.051,611.923,-8.494
186.258,623.742,-11.367,97.377,18.334,329.238,0.051,611.993,-8.553
186.275,623.726,-11.283,97.622,18.31,329.238,0.051,612.064,-8.613
186.292,623.708,-11.195,97.887,18.284,355.342,0.051,612.133,-8.673
186.308,623.689,-11.106,98.159,18.254,355.342,0.038,612.203,-8.734
186.325,623.671,-11.023,98.413,18.225,355.342,0.039,612.272,-8.796
186.341,623.651,-10.935,98.692,18.197,355.342,0.04,612.341,-8.858
186.358,623.631,-10.848,98.982,18.165,355.342,0.04,612.409,-8.921
186.375,623.612,-10.765,99.25,18.14,381.973,0.04,612.477,-8.984
186.391,623.591,-10.677,99.537,18.113,381.973,0.04,612.544,-9.048
186.408,623.569,-10.59,99.839,18.079,381.973,0.042,612.61,-9.112
186.424,623.549,-10.508,100.122,18.052,381.973,0.042,612.676,-9.176
186.441,623.526,-10.422,100.425,18.024,381.973,0.053,612.742,-9.241
186.458,623.503,-10.335,100.74,17.992,381.973,0.053,612.808,-9.307
186.474,623.48,-10.254,101.031,17.967,404.077,0.053,612.873,-9.374
186.491,623.456,-10.167,101.339,17.94,404.077,0.054,612.937,-9.44
186.507,623.432,-10.082,101.66,17.906,404.077,0.056,613.001,-9.507
186.525,623.408,-10.001,101.958,17.879,404.077,0.056,613.064,-9.574
186.542,623.382,-9.916,102.275,17.851,404.077,0.056,613.126,-9.642
186.558,623.356,-9.831,102.603,17.818,417.305,0.056,613.189,-9.711
186.575,623.331,-9.751,102.903,17.792,417.305,0.056,613.251,-9.78
186.591,623.304,-9.667,103.227,17.763,417.305,0.056,613.312,-9.85
186.608,623.276,-9.583,103.561,17.73,417.305,0.042,613.373,-9.92
186.625,623.249,-9.503,103.869,17.705,417.305,0.043,613.433,-9.99
186.641,623.221,-9.42,104.198,17.678,422.754,0.044,613.492,-10.06
186.658,623.192,-9.337,104.536,17.648,422.754,0.044,613.551,-10.131
186.674,623.164,-9.258,104.848,17.625,422.754,0.044,613.609,-10.203
186.691,623.134,-9.176,105.181,17.599,422.754,0.044,613.668,-10.275
186.708,623.103,-9.093,105.522,17.571,422.754,0.044,613.725,-10.348
186.724,623.074,-9.015,105.835,17.549,428.687,0.044,613.782,-10.42
186.741,623.042,-8.934,106.167,17.524,428.687,0.056,613.838,-10.493
186.757,623.011,-8.852,106.508,17.497,428.687,0.056,613.894,-10.567
186.774,622.98,-8.775,106.821,17.475,428.687,0.056,613.95,-10.642
186.792,622.947,-8.695,107.153,17.449,428.687,0.056,614.004,-10.716
186.808,622.914,-8.614,107.494,17.421,428.687,0.056,614.059,-10.791
186.825,622.883,-8.538,107.806,17.399,437.52,0.056,614.112,-10.867
186.841,622.849,-8.458,108.138,17.372,437.52,0.054,614.166,-10.943
186.858,622.814,-8.379,108.478,17.343,437.52,0.056,614.218,-11.019
186.875,622.781,-8.303,108.793,17.319,437.52,0.054,614.27,-11.096
186.891,622.746,-8.224,109.127,17.292,437.52,0.054,614.322,-11.173
186.908,622.71,-8.146,109.471,17.262,451.318,0.054,614.372,-11.25
186.924,622.676,-8.071,109.786,17.237,451.318,0.039,614.422,-11.328
186.941,622.639,-7.993,110.124,17.206,451.318,0.04,614.472,-11.406
186.958,622.602,-7.916,110.473,17.174,451.318,0.04,614.521,-11.485
186.974,622.567,-7.842,110.794,17.147,451.318,0.042,614.57,-11.564
186.991,622.529,-7.765,111.138,17.117,471.357,0.042,614.617,-11.643
187.007,622.49,-7.688,111.49,17.086,471.357,0.04,614.665,-11.722
187.025,622.454,-7.616,111.817,17.056,471.357,0.04,614.711,-11.803
187.041,622.414,-7.54,112.169,17.023,471.357,0.053,614.757,-11.883
187.058,622.374,-7.465,112.531,16.989,471.357,0.051,614.803,-11.963
187.075,622.336,-7.393,112.866,16.961,471.357,0.051,614.848,-12.044
187.091,622.295,-7.319,113.225,16.93,495.747,0.05,614.892,-12.126
187.108,622.254,-7.244,113.591,16.897,495.747,0.05,614.936,-12.208
187.125,622.215,-7.173,113.931,16.866,495.747,0.051,614.978,-12.289
187.141,622.173,-7.1,114.299,16.831,495.747,0.051,615.021,-12.371
187.158,622.13,-7.027,114.676,16.797,495.747,0.051,615.063,-12.454
187.174,622.089,-6.958,115.025,16.767,523.257,0.05,615.104,-12.537
187.191,622.045,-6.885,115.396,16.734,523.257,0.051,615.144,-12.62
187.208,622.001,-6.813,115.781,16.695,523.257,0.051,615.184,-12.704
187.224,621.959,-6.745,116.143,16.663,523.257,0.037,615.224,-12.787
187.241,621.914,-6.674,116.529,16.629,523.257,0.037,615.262,-12.872
187.257,621.868,-6.604,116.926,16.592,550.239,0.039,615.301,-12.956
187.274,621.824,-6.536,117.294,16.562,550.239,0.04,615.338,-13.041
187.291,621.778,-6.467,117.69,16.525,550.239,0.042,615.375,-13.126
187.307,621.731,-6.398,118.102,16.487,550.239,0.042,615.411,-13.211
187.324,621.685,-6.332,118.484,16.456,550.239,0.043,615.446,-13.296
187.341,621.637,-6.264,118.892,16.422,568.74,0.044,615.481,-13.382
187.358,621.589,-6.196,119.309,16.387,568.74,0.054,615.515,-13.468
187.375,621.542,-6.131,119.699,16.356,568.74,0.056,615.549,-13.554
187.391,621.493,-6.065,120.116,16.321,568.74,0.057,615.582,-13.642
187.408,621.443,-5.999,120.543,16.286,568.74,0.056,615.614,-13.728
187.424,621.395,-5.936,120.939,16.258,568.74,0.056,615.646,-13.815
187.441,621.344,-5.871,121.359,16.226,571.333,0.056,615.677,-13.902
187.458,621.293,-5.806,121.788,16.194,571.333,0.056,615.707,-13.99
187.474,621.243,-5.744,122.184,16.168,571.333,0.054,615.737,-14.078
187.491,621.192,-5.681,122.603,16.139,571.333,0.054,615.766,-14.165
187.507,621.139,-5.618,123.03,16.11,571.333,0.053,615.794,-14.254
187.524,621.089,-5.557,123.423,16.086,562.148,0.054,615.822,-14.342
187.542,621.036,-5.496,123.838,16.057,562.148,0.038,615.849,-14.43
187.558,620.982,-5.434,124.261,16.032,562.148,0.04,615.875,-14.519
187.574,620.931,-5.375,124.647,16.011,562.148,0.04,615.901,-14.608
187.59,620.877,-5.314,125.055,15.985,562.148,0.043,615.926,-14.697
187.607,620.823,-5.254,125.469,15.96,548.877,0.043,615.95,-14.786
187.625,620.771,-5.197,125.85,15.941,548.877,0.043,615.974,-14.876
187.641,620.716,-5.137,126.25,15.916,548.877,0.042,615.997,-14.966
187.658,620.661,-5.078,126.655,15.893,548.877,0.05,616.02,-15.056
187.674,620.608,-5.022,127.026,15.875,548.877,0.05,616.041,-15.146
187.691,620.553,-4.964,127.416,15.849,534.902,0.053,616.062,-15.236
187.708,620.497,-4.907,127.815,15.824,534.902,0.053,616.083,-15.326
187.724,620.443,-4.852,128.178,15.808,534.902,0.054,616.102,-15.417
187.741,620.387,-4.796,128.559,15.782,534.902,0.053,616.121,-15.508
187.757,620.33,-4.739,128.946,15.758,534.902,0.054,616.14,-15.598
187.774,620.276,-4.686,129.301,15.74,534.902,0.053,616.157,-15.689
187.791,620.219,-4.63,129.675,15.712,523.521,0.054,616.174,-15.78
187.807,620.162,-4.576,130.058,15.686,523.521,0.056,616.19,-15.871
187.824,620.107,-4.523,130.407,15.667,523.521,0.056,616.206,-15.962
187.84,620.049,-4.469,130.774,15.64,523.521,0.039,616.221,-16.053
187.857,619.991,-4.416,131.149,15.614,523.521,0.042,616.235,-16.145
187.875,619.936,-4.365,131.493,15.594,515.083,0.042,616.249,-16.236
187.89,619.878,-4.312,131.857,15.566,515.083,0.043,616.262,-16.328
187.908,619.819,-4.26,132.227,15.542,515.083,0.046,616.274,-16.419
187.924,619.763,-4.21,132.565,15.521,515.083,0.044,616.285,-16.512
187.941,619.704,-4.159,132.922,15.494,515.083,0.044,616.296,-16.603
187.958,619.645,-4.108,133.287,15.468,505.942,0.044,616.306,-16.696
187.974,619.589,-4.06,133.622,15.447,505.942,0.048,616.315,-16.787
187.991,619.529,-4.01,133.975,15.421,505.942,0.056,616.324,-16.879
188.007,619.469,-3.96,134.334,15.395,505.942,0.054,616.332,-16.971
188.024,619.412,-3.913,134.662,15.375,505.942,0.054,616.34,-17.064
188.041,619.352,-3.864,135.009,15.348,505.942,0.054,616.346,-17.156
188.057,619.292,-3.816,135.364,15.322,491.133,0.056,616.352,-17.249
188.074,619.235,-3.77,135.69,15.3,491.133,0.054,616.357,-17.342
188.091,619.174,-3.723,136.033,15.276,491.133,0.054,616.362,-17.434
188.107,619.113,-3.675,136.381,15.251,491.133,0.053,616.366,-17.526
188.125,619.055,-3.63,136.699,15.232,491.133,0.054,616.369,-17.618
188.14,618.995,-3.584,137.034,15.206,468.677,0.056,616.372,-17.711
188.157,618.934,-3.539,137.378,15.181,468.677,0.039,616.373,-17.804
188.174,618.875,-3.495,137.688,15.166,468.677,0.04,616.375,-17.897
188.191,618.814,-3.45,138.011,15.143,468.677,0.043,616.375,-17.989
188.208,618.753,-3.406,138.34,15.123,468.677,0.044,616.375,-18.081
188.224,618.694,-3.363,138.638,15.105,438.267,0.044,616.375,-18.173
188.241,618.633,-3.32,138.954,15.081,438.267,0.046,616.375,-18.266
188.257,618.572,-3.276,139.271,15.067,438.267,0.046,616.375,-18.358
188.274,618.513,-3.234,139.551,15.051,438.267,0.044,616.375,-18.45
188.291,618.451,-3.191,139.847,15.028,438.267,0.044,616.375,-18.543
188.307,618.39,-3.149,140.147,15.012,404.736,0.054,616.375,-18.636
188.324,618.332,-3.109,140.419,14.993,404.736,0.054,616.375,-18.73
188.34,618.27,-3.067,140.7,14.976,404.736,0.053,616.375,-18.823
188.357,618.208,-3.025,140.98,14.958,404.736,0.053,616.375,-18.918
188.374,618.15,-2.985,141.233,14.943,404.736,0.054,616.375,-19.012
188.39,618.088,-2.944,141.497,14.919,404.736,0.054,616.375,-19.107
188.407,618.026,-2.903,141.766,14.901,375.205,0.056,616.375,-19.203
188.423,617.968,-2.865,142.011,14.88,375.205,0.051,616.375,-19.299
188.44,617.906,-2.825,142.265,14.86,375.205,0.054,616.375,-19.395
188.458,617.844,-2.785,142.521,14.84,375.205,0.053,616.375,-19.491
188.474,617.786,-2.747,142.753,14.823,375.205,0.051,616.375,-19.587
188.491,617.724,-2.707,142.996,14.798,355.21,0.051,616.375,-19.683
188.507,617.663,-2.669,143.247,14.778,355.21,0.051,616.375,-19.779
188.524,617.604,-2.631,143.468,14.761,355.21,0.053,616.375,-19.875
188.541,617.542,-2.592,143.7,14.736,355.21,0.054,616.375,-19.972
188.557,617.481,-2.554,143.938,14.717,355.21,0.053,616.375,-20.068
188.574,617.422,-2.518,144.15,14.695,344.971,0.054,616.375,-20.164
188.59,617.361,-2.48,144.376,14.671,344.971,0.056,616.375,-20.261
188.607,617.299,-2.443,144.607,14.65,344.971,0.056,616.375,-20.358
188.624,617.24,-2.407,144.813,14.628,344.971,0.056,616.375,-20.454
188.64,617.178,-2.37,145.032,14.604,344.971,0.057,616.375,-20.551
188.657,617.117,-2.333,145.259,14.58,343.564,0.057,616.375,-20.648
188.673,617.058,-2.298,145.463,14.558,343.564,0.057,616.375,-20.744
188.69,616.996,-2.263,145.681,14.532,343.564,0.056,616.375,-20.842
188.707,616.934,-2.227,145.907,14.508,343.564,0.056,616.375,-20.939
188.724,616.875,-2.193,146.111,14.485,343.564,0.057,616.375,-21.037
188.741,616.813,-2.158,146.331,14.459,343.564,0.056,616.375,-21.136
188.757,616.751,-2.123,146.558,14.434,345.85,0.056,616.375,-21.234
188.774,616.692,-2.089,146.764,14.412,345.85,0.056,616.375,-21.333
188.791,616.63,-2.055,146.984,14.386,345.85,0.056,616.375,-21.433
188.807,616.568,-2.021,147.213,14.361,345.85,0.056,616.375,-21.533
188.824,616.509,-1.989,147.419,14.338,345.85,0.056,616.375,-21.633
188.84,616.447,-1.955,147.64,14.313,348.135,0.056,616.375,-21.734
188.857,616.384,-1.922,147.868,14.288,348.135,0.056,616.375,-21.835
188.874,616.325,-1.891,148.074,14.266,348.135,0.056,616.375,-21.936
188.89,616.263,-1.858,148.295,14.241,348.135,0.056,616.375,-22.038
188.907,616.201,-1.826,148.523,14.216,348.135,0.056,616.375,-22.14
188.923,616.141,-1.796,148.729,14.194,350.508,0.056,616.375,-22.243
188.941,616.079,-1.764,148.949,14.169,350.508,0.056,616.375,-22.345
188.957,616.016,-1.733,149.176,14.145,350.508,0.056,616.375,-22.447
188.973,615.957,-1.703,149.382,14.123,350.508,0.056,616.375,-22.549
188.99,615.895,-1.672,149.602,14.098,350.508,0.056,616.375,-22.651
189.007,615.832,-1.642,149.83,14.074,350.508,0.056,616.375,-22.752
189.024,615.773,-1.613,150.035,14.052,352.925,0.056,616.375,-22.853
189.041,615.71,-1.583,150.255,14.028,352.925,0.056,616.375,-22.954
189.057,615.648,-1.554,150.482,14.004,352.925,0.056,616.375,-23.054
189.074,615.588,-1.525,150.688,13.982,352.925,0.056,616.375,-23.154
189.09,615.526,-1.497,150.908,13.957,352.925,0.057,616.375,-23.254
189.107,615.463,-1.468,151.135,13.934,357.012,0.056,616.375,-23.354
189.124,615.404,-1.44,151.34,13.912,357.012,0.056,616.375,-23.453
189.14,615.341,-1.412,151.559,13.887,357.012,0.056,616.375,-23.552
189.157,615.278,-1.385,151.787,13.864,357.012,0.056,616.375,-23.651
189.173,615.219,-1.358,151.993,13.841,357.012,0.056,616.375,-23.75
189.19,615.156,-1.331,152.213,13.816,363.076,0.056,616.375,-23.849
189.207,615.094,-1.304,152.44,13.793,363.076,0.056,616.375,-23.948
189.223,615.034,-1.278,152.646,13.77,363.076,0.056,616.375,-24.047
189.24,614.971,-1.252,152.868,13.745,363.076,0.056,616.375,-24.146
189.256,614.909,-1.226,153.098,13.722,363.076,0.056,616.375,-24.245
189.274,614.849,-1.201,153.306,13.702,370.635,0.056,616.375,-24.344
189.291,614.786,-1.176,153.528,13.68,370.635,0.056,616.375,-24.443
189.307,614.724,-1.151,153.76,13.658,370.635,0.054,616.375,-24.543
189.324,614.664,-1.127,153.97,13.64,370.635,0.054,616.375,-24.642
189.34,614.601,-1.102,154.196,13.618,370.635,0.056,616.375,-24.741
189.357,614.538,-1.078,154.43,13.599,370.635,0.054,616.375,-24.841
189.374,614.478,-1.055,154.642,13.582,378.765,0.056,616.375,-24.94
189.39,614.415,-1.031,154.868,13.563,378.765,0.056,616.375,-25.04
189.407,614.353,-1.008,155.104,13.544,378.765,0.056,616.375,-25.14
189.423,614.293,-0.986,155.318,13.529,378.765,0.056,616.375,-25.239
189.44,614.23,-0.963,155.546,13.51,378.765,0.056,616.375,-25.339
189.457,614.167,-0.94,155.784,13.493,385.488,0.056,616.375,-25.439
189.473,614.107,-0.919,155.998,13.479,385.488,0.056,616.375,-25.539
189.49,614.044,-0.897,156.229,13.461,385.488,0.056,616.375,-25.639
189.507,613.98,-0.876,156.469,13.446,385.488,0.056,616.375,-25.739
189.523,613.92,-0.855,156.686,13.432,385.488,0.054,616.375,-25.839
189.54,613.857,-0.834,156.919,13.417,389.531,0.056,616.375,-25.939
189.557,613.794,-0.813,157.16,13.403,389.531,0.056,616.375,-26.039
189.574,613.734,-0.793,157.378,13.391,389.531,0.057,616.375,-26.139
189.59,613.671,-0.773,157.612,13.378,389.531,0.056,616.375,-26.24
189.607,613.607,-0.753,157.855,13.366,389.531,0.054,616.375,-26.34
189.624,613.547,-0.734,158.075,13.358,389.531,0.056,616.375,-26.44
189.64,613.484,-0.715,158.309,13.347,388.96,0.054,616.375,-26.541
189.657,613.42,-0.696,158.552,13.337,388.96,0.054,616.375,-26.641
189.673,613.36,-0.678,158.77,13.331,388.96,0.054,616.375,-26.742
189.69,613.296,-0.659,159.004,13.321,388.96,0.054,616.375,-26.843
189.707,613.233,-0.641,159.245,13.313,388.96,0.054,616.375,-26.943
189.723,613.172,-0.624,159.462,13.307,381.885,0.053,616.375,-27.044
189.74,613.109,-0.606,159.694,13.298,381.885,0.053,616.375,-27.145
189.756,613.045,-0.589,159.933,13.292,381.885,0.051,616.375,-27.246
189.773,612.985,-0.572,160.146,13.288,381.885,0.05,616.375,-27.347
189.79,612.921,-0.555,160.374,13.28,381.885,0.053,616.375,-27.448
189.807,612.858,-0.538,160.608,13.275,366.504,0.051,616.375,-27.549
189.823,612.797,-0.522,160.82,13.27,366.504,0.05,616.375,-27.65
189.84,612.734,-0.506,161.043,13.266,366.504,0.05,616.375,-27.751
189.857,612.67,-0.49,161.27,13.261,366.504,0.051,616.375,-27.852
189.874,612.609,-0.474,161.474,13.259,366.504,0.053,616.375,-27.953
189.89,612.546,-0.459,161.689,13.252,345.674,0.05,616.375,-28.054
189.907,612.483,-0.444,161.913,13.248,345.674,0.053,616.375,-28.156
189.923,612.422,-0.429,162.109,13.249,345.674,0.053,616.375,-28.257
189.94,612.359,-0.413,162.314,13.243,345.674,0.053,616.375,-28.358
189.957,612.295,-0.399,162.525,13.241,345.674,0.05,616.375,-28.459
189.973,612.235,-0.384,162.712,13.238,345.674,0.054,616.375,-28.56
189.99,612.171,-0.37,162.91,13.231,323.262,0.051,616.375,-28.66
190.006,612.108,-0.356,163.117,13.227,323.262,0.053,616.375,-28.76
190.023,612.048,-0.342,163.298,13.225,323.262,0.053,616.375,-28.86
190.04,611.984,-0.328,163.488,13.219,323.262,0.053,616.375,-28.959
190.057,611.921,-0.314,163.684,13.216,323.262,0.054,616.375,-29.059
190.073,611.861,-0.3,163.858,13.212,299.004,0.054,616.375,-29.158
190.089,611.798,-0.287,164.045,13.205,299.004,0.053,616.375,-29.256
190.107,611.734,-0.274,164.234,13.204,299.004,0.057,616.375,-29.355
190.124,611.674,-0.261,164.397,13.199,299.004,0.054,616.375,-29.453
190.14,611.611,-0.247,164.572,13.194,299.004,0.054,616.375,-29.551
190.157,611.548,-0.234,164.749,13.188,270.967,0.053,616.375,-29.648
190.173,611.488,-0.222,164.909,13.183,270.967,0.054,616.375,-29.746
190.19,611.425,-0.209,165.072,13.179,270.967,0.057,616.375,-29.843
190.207,611.362,-0.197,165.235,13.174,270.967,0.057,616.375,-29.94
190.223,611.302,-0.184,165.379,13.169,270.967,0.057,616.375,-30.036
190.24,611.239,-0.172,165.53,13.16,240.996,0.054,616.375,-30.132
190.256,611.177,-0.16,165.689,13.154,240.996,0.054,616.375,-30.228
190.273,611.117,-0.148,165.822,13.15,240.996,0.054,616.375,-30.324
190.29,611.054,-0.136,165.96,13.141,240.996,0.056,616.375,-30.42
190.307,610.992,-0.124,166.101,13.137,240.996,0.056,616.375,-30.515
190.323,610.932,-0.112,166.224,13.128,240.996,0.056,616.375,-30.61
190.339,610.87,-0.1,166.355,13.119,210.718,0.059,616.375,-30.704
190.356,610.808,-0.089,166.494,13.11,210.718,0.059,616.375,-30.799
190.373,610.749,-0.077,166.609,13.104,210.718,0.056,616.375,-30.893
190.39,610.686,-0.065,166.73,13.094,210.718,0.054,616.375,-30.987
190.407,610.624,-0.054,166.855,13.088,210.718,0.053,616.375,-31.081
190.423,610.565,-0.043,166.962,13.078,180.308,0.056,616.375,-31.174
190.44,610.504,-0.032,167.08,13.069,180.308,0.054,616.375,-31.267
190.457,610.442,-0.02,167.192,13.063,180.308,0.056,616.375,-31.36
190.473,610.383,-0.009,167.287,13.054,180.308,0.057,616.375,-31.452
190.49,610.321,0.002,167.387,13.047,180.308,0.057,616.375,-31.545
190.506,610.259,0.014,167.486,13.039,150.073,0.057,616.375,-31.637
190.523,610.201,0.024,167.576,13.032,150.073,0.054,616.375,-31.729
190.54,610.14,0.035,167.662,13.026,150.073,0.054,616.375,-31.82
190.556,610.078,0.047,167.746,13.02,150.073,0.053,616.375,-31.911
190.573,610.02,0.058,167.819,13.015,150.073,0.056,616.375,-32.002
190.589,609.959,0.069,167.894,13.008,150.073,0.057,616.375,-32.093
190.606,609.897,0.08,167.971,13.003,122.124,0.053,616.375,-32.184
190.623,609.84,0.09,168.042,12.997,122.124,0.054,616.375,-32.274
190.639,609.779,0.101,168.111,12.998,122.124,0.057,616.375,-32.364
190.657,609.717,0.113,168.18,13.006,122.124,0.051,616.375,-32.454
190.673,609.659,0.123,168.241,13.023,122.124,0.056,616.375,-32.543
190.69,609.598,0.134,168.304,13.049,96.416,0.053,616.375,-32.632
190.707,609.537,0.145,168.373,13.083,96.416,0.054,616.375,-32.721
190.723,609.479,0.156,168.425,13.121,96.416,0.051,616.375,-32.81
190.74,609.417,0.167,168.477,13.167,96.416,0.054,616.375,-32.898
190.756,609.355,0.179,168.531,13.217,96.416,0.054,616.375,-32.987
190.773,609.297,0.19,168.574,13.268,73.213,0.05,616.375,-33.075
190.79,609.235,0.2,168.622,13.325,73.213,0.054,616.375,-33.162
190.806,609.172,0.212,168.664,13.387,73.213,0.053,616.375,-33.25
190.823,609.113,0.223,168.696,13.453,73.213,0.053,616.375,-33.337
190.839,609.05,0.235,168.731,13.529,73.213,0.054,616.375,-33.424
190.857,608.986,0.246,168.765,13.617,52.119,0.05,616.375,-33.51
190.873,608.927,0.257,168.796,13.711,52.119,0.051,616.375,-33.597
190.889,608.862,0.269,168.824,13.819,52.119,0.051,616.375,-33.683
190.906,608.797,0.282,168.85,13.937,52.119,0.053,616.375,-33.769
190.922,608.736,0.293,168.873,14.052,52.119,0.053,616.375,-33.855
190.94,608.67,0.305,168.896,14.18,52.119,0.054,616.375,-33.941
190.957,608.604,0.318,168.919,14.311,34.233,0.051,616.375,-34.027
190.973,608.541,0.329,168.943,14.438,34.233,0.054,616.375,-34.114
190.99,608.474,0.342,168.962,14.573,34.233,0.054,616.375,-34.201
191.006,608.405,0.355,168.98,14.713,34.233,0.053,616.375,-34.289
191.023,608.341,0.367,168.996,14.844,34.233,0.054,616.375,-34.377
191.04,608.271,0.38,169.01,14.987,19.028,0.054,616.375,-34.466
191.056,608.201,0.393,169.026,15.132,19.028,0.053,616.375,-34.555
191.073,608.135,0.406,169.039,15.27,19.028,0.053,616.375,-34.644
191.089,608.063,0.42,169.053,15.419,19.028,0.053,616.375,-34.734
191.106,607.992,0.434,169.064,15.568,19.028,0.054,616.375,-34.824
191.123,607.923,0.447,169.07,15.71,5.01,0.054,616.375,-34.914
191.139,607.85,0.461,169.075,15.86,5.01,0.054,616.375,-35.005
191.157,607.776,0.475,169.075,16.01,5.01,0.054,616.375,-35.096
191.172,607.706,0.488,169.074,16.151,5.01,0.054,616.375,-35.188
191.189,607.631,0.503,169.073,16.301,5.01,0.056,616.375,-35.28
191.207,607.555,0.518,169.07,16.449,-6.284,0.054,616.375,-35.373
191.223,607.483,0.531,169.066,16.588,-6.284,0.053,616.375,-35.466
191.24,607.406,0.546,169.056,16.735,-6.284,0.056,616.375,-35.559
191.256,607.328,0.562,169.044,16.881,-6.284,0.056,616.375,-35.653
191.273,607.255,0.576,169.034,17.018,-6.284,0.056,616.375,-35.747
191.29,607.176,0.591,169.022,17.163,-6.284,0.056,616.375,-35.841
191.306,607.096,0.607,169.013,17.307,-13.623,0.056,616.375,-35.936
191.323,607.02,0.621,169.008,17.44,-13.623,0.056,616.375,-36.031
191.339,606.939,0.637,169,17.583,-13.623,0.056,616.375,-36.127
191.356,606.858,0.653,168.994,17.722,-13.623,0.057,616.375,-36.223
191.373,606.78,0.668,168.988,17.854,-13.623,0.057,616.375,-36.32
191.389,606.697,0.685,168.985,17.993,-15.425,0.057,616.375,-36.416
191.406,606.614,0.701,168.983,18.132,-15.425,0.056,616.375,-36.514
191.422,606.534,0.717,168.981,18.262,-15.425,0.056,616.375,-36.611
191.439,606.449,0.733,168.981,18.399,-15.425,0.054,616.375,-36.709
191.457,606.364,0.75,168.98,18.536,-15.425,0.056,616.375,-36.808
191.472,606.283,0.766,168.979,18.665,-9.053,0.054,616.375,-36.906
191.49,606.196,0.783,168.978,18.801,-9.053,0.054,616.375,-37.006
191.506,606.109,0.8,168.975,18.936,-9.053,0.053,616.375,-37.105
191.523,606.026,0.816,168.973,19.063,-9.053,0.054,616.375,-37.205
191.54,605.937,0.834,168.967,19.197,-9.053,0.053,616.375,-37.306
191.556,605.848,0.851,168.96,19.329,4.614,0.053,616.375,-37.406
191.573,605.763,0.868,168.954,19.453,4.614,0.053,616.375,-37.507
191.589,605.673,0.885,168.956,19.583,4.614,0.053,616.375,-37.609
191.606,605.582,0.903,168.959,19.712,4.614,0.053,616.375,-37.711
191.623,605.496,0.92,168.965,19.833,4.614,0.053,616.375,-37.813
191.639,605.403,0.938,168.974,19.961,4.614,0.051,616.375,-37.916
191.656,605.311,0.956,168.982,20.089,22.236,0.05,616.375,-38.019
191.672,605.222,0.973,168.989,20.208,22.236,0.05,616.375,-38.122
191.689,605.128,0.991,169.001,20.335,22.236,0.05,616.375,-38.226
191.707,605.034,1.009,169.013,20.46,22.236,0.053,616.375,-38.33
191.722,604.944,1.027,169.021,20.579,22.236,0.049,616.375,-38.435
191.739,604.848,1.045,169.031,20.704,44.297,0.053,616.375,-38.539
191.756,604.751,1.064,169.039,20.827,44.297,0.05,616.375,-38.645
191.773,604.66,1.081,169.053,20.944,44.297,0.051,616.375,-38.75
191.79,604.562,1.099,169.074,21.066,44.297,0.051,616.375,-38.857
191.806,604.464,1.117,169.099,21.187,44.297,0.049,616.375,-38.963
